timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666527347032,1,Get Users,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: myproject3-appservice.azurewebsites.net,endurance 1-16,text,false,,2117,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users,0,0,1
1666527347034,1,Delete Users,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: myproject3-appservice.azurewebsites.net,endurance 1-16,text,false,,2117,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/2,0,0,1
1666527347036,1,Get User by ID,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: myproject3-appservice.azurewebsites.net,endurance 1-16,text,false,,2117,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/2,0,0,1
1666527349024,1,Get Users,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: myproject3-appservice.azurewebsites.net,endurance 1-17,text,false,,2117,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users,0,0,1
1666527349026,1,Delete Users,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: myproject3-appservice.azurewebsites.net,endurance 1-17,text,false,,2117,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/4,0,0,1
1666527349028,1,Get User by ID,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: myproject3-appservice.azurewebsites.net,endurance 1-17,text,false,,2117,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/4,0,0,0
1666527351022,1,Get Users,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: myproject3-appservice.azurewebsites.net,endurance 1-18,text,false,,2117,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users,0,0,0
1666527351024,0,Delete Users,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: myproject3-appservice.azurewebsites.net,endurance 1-18,text,false,,2117,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/6,0,0,0
1666527351027,3,Get User by ID,Non HTTP response code: java.net.UnknownHostException,"Non HTTP response message: myproject3-appservice.azurewebsites.net: nodename nor servname provided, or not known",endurance 1-18,text,false,,2369,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users/6,0,0,3
1666527353026,3,Get Users,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: myproject3-appservice.azurewebsites.net,endurance 1-19,text,false,,2117,0,1,1,https://myproject3-appservice.azurewebsites.net/api/Users,0,0,3
